,ETagGantryID,LinkID,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,LocationMile,RoadSectionStart,RoadSectionEnd
188,01F1699S,0000100017000B,4,120.68662,24.231537,000010,國道1號,0,S,169K+900,豐原,大雅
189,03F3187N,0000300131900D,4,120.40417,23.296692,000030,國道3號,0,N,318K+700,東山服務區,白河
190,03F0996S,0000300009940J,4,120.99727,24.755812,000030,國道3號,0,S,99K+600,寶山,新竹系統
191,01F3460N,0000100134600E,4,120.31273,22.818039,000010,國道1號,0,N,346K+000,岡山,高科
192,01F1699N,0000100116900B,4,120.68662,24.231537,000010,國道1號,0,N,169K+900,大雅,豐原
193,01F3525S,0000100035300E,4,120.3308,22.761671,000010,國道1號,0,S,352K+500,岡山,楠梓(旗楠路)
194,03F0996N,0000300109940J,4,120.99727,24.755812,000030,國道3號,0,N,99K+600,新竹系統,寶山
195,01F2425N,0000100124200P,4,120.46228,23.677376,000010,國道1號,0,N,242K+500,雲林系統,斗南
196,01F0147S,0000100001440A,4,121.61352,25.065643,000010,國道1號,0,S,14K+700,汐止&汐止系統,東湖
197,03F1710N,0000300117100B,4,120.60197,24.292881,000030,國道3號,0,N,171K+000,清水服務區,中港系統
198,01F3460S,0000100034600E,4,120.31273,22.818039,000010,國道1號,0,S,346K+000,高科,岡山
199,03F1257N,0000300112520K,4,120.814,24.627161,000030,國道3號,0,N,125K+700,後龍,大山
200,01F2425S,0000100024200P,4,120.46228,23.677376,000010,國道1號,0,S,242K+500,斗南,雲林系統
201,03F3187S,0000300031900D,4,120.40417,23.296692,000030,國道3號,0,S,318K+700,白河,東山服務區
202,01F0147N,0000100101440A,4,121.61352,25.065643,000010,國道1號,0,N,14K+700,東湖,汐止&汐止系統
203,01F0256N,0000100102520A,4,121.50911,25.078068,000010,國道1號,0,N,25K+600,三重,臺北
204,03F1257S,0000300012520K,4,120.814,24.627161,000030,國道3號,0,S,125K+700,大山,後龍
205,03F1710S,0000300017100B,4,120.60197,24.292881,000030,國道3號,0,S,171K+000,中港系統,清水服務區
206,03F3392N,0000300133900D,4,120.33371,23.132065,000030,國道3號,0,N,339K+200,善化,官田系統
207,01F1664S,0000100016610B,4,120.691956,24.262648,000010,國道1號,0,S,166K+400,臺中系統,豐原
208,03F3392S,0000300033900D,4,120.33371,23.132065,000030,國道3號,0,S,339K+200,官田系統,善化
209,03F4142S,0000300041400T,4,120.52616,22.579586,000030,國道3號,0,S,414K+200,麟洛,竹田系統
210,03F4263S,0000300042600T,4,120.530846,22.47466,000030,國道3號,0,S,426K+300,南州,林邊
211,01F1802N,0000100118000B,4,120.62193,24.163706,000010,國道1號,0,N,180K+200,南屯,臺中
212,01F3366N,0000100133700E,4,120.27215,22.892618,000010,國道1號,0,N,336K+600,路竹,仁德系統
213,01F1802S,0000100018000B,4,120.62193,24.163706,000010,國道1號,0,S,180K+200,臺中,南屯
214,03F4021N,0000300140200T,4,120.56331,22.680347,000030,國道3號,0,N,402K+100,麟洛,長治
215,01F3366S,0000100033700E,4,120.27215,22.892618,000010,國道1號,0,S,336K+600,仁德系統,路竹
216,03F4142N,0000300141400T,4,120.52616,22.579586,000030,國道3號,0,N,414K+200,竹田系統,麟洛
217,01F1664N,0000100116620B,4,120.691956,24.262648,000010,國道1號,0,N,166K+400,豐原,臺中系統
218,03F2235S,0000300022340M,4,120.66127,23.955503,000030,國道3號,0,S,223K+500,中興系統,中興
219,03F2194N,0000300121900M,4,120.65272,23.985844,000030,國道3號,0,N,219K+400,中興系統,草屯
220,01F0340N,0000100103380F,4,121.428055,25.068,000010,國道1號,0,N,34K+000,高公局,五股
221,01F3083N,0000100130800D,4,120.23327,23.14075,000010,國道1號,0,N,308K+300,安定,麻豆
222,01F3083S,0000100030800D,4,120.23327,23.14075,000010,國道1號,0,S,308K+300,麻豆,安定
223,01F0376S,0000100003700F,4,121.39731,25.058666,000010,國道1號,0,S,37K+600,高公局,林口(文化一路)
224,01F1839N,0000100118300B,4,120.61725,24.130768,000010,國道1號,0,N,183K+900,王田,南屯
225,01F0950S,0000100009470O,4,121.00525,24.789621,000010,國道1號,0,S,95K+000,新竹(新竹、竹東),新竹(科學園區)
226,03F1779N,0000300117700B,4,120.59331,24.234648,000030,國道3號,0,N,177K+900,龍井,沙鹿
227,03F2194S,0000300021900M,4,120.65272,23.985844,000030,國道3號,0,S,219K+400,草屯,中興系統
228,03F3445N,0000300134400D,4,120.32903,23.085272,000030,國道3號,0,N,344K+500,新化系統,善化
229,03F1779S,0000300017700B,4,120.59331,24.234648,000030,國道3號,0,S,177K+900,沙鹿,龍井
230,01F0376N,0000100103700F,4,121.39731,25.058666,000010,國道1號,0,N,37K+600,林口(文化一路),高公局
231,03F3445S,0000300034400D,4,120.32903,23.085272,000030,國道3號,0,S,344K+500,善化,新化系統
232,03F2747N,0000300127500P,4,120.55856,23.618202,000030,國道3號,0,N,274K+700,古坑服務區,古坑(朝陽路)
233,01F1774S,0000100017700B,4,120.63561,24.184591,000010,國道1號,0,S,177K+400,大雅,臺中
234,05F0055S,0000500000500F,4,121.652084,24.996504,000050,國道5號,0,S,5K+500,石碇,坪林交控中心專用道
235,01F2011S,0000100020100N,4,120.52279,24.04064,000010,國道1號,0,S,201K+100,彰化,埔鹽系統
236,03F1485S,0000300014800K,4,120.68121,24.467308,000030,國道3號,0,S,148K+500,通霄,苑裡
237,03F2614N,0000300126120P,4,120.60178,23.724424,000030,國道3號,0,N,261K+400,古坑(文化路)&古坑系統,斗六
238,01F1839S,0000100018400B,4,120.61725,24.130768,000010,國道1號,0,S,183K+900,南屯,王田
239,03F0021N,0000300100200C,4,121.69863,25.129515,000030,國道3號,0,N,2K+100,瑪東系統,基金
240,03F2125N,0000300121220B,4,120.67786,24.040995,000030,國道3號,0,N,212K+500,霧峰系統,霧峰
241,03F2614S,0000300026120P,4,120.60178,23.724424,000030,國道3號,0,S,261K+400,斗六,古坑(文化路)&古坑系統
242,03F2747S,0000300027500P,4,120.55856,23.618202,000030,國道3號,0,S,274K+700,古坑(朝陽路),古坑服務區
243,03A0015S,0000310000100A,4,121.56238,25.01182,000031,國道3甲,0,S,1K+500,臺北端,萬芳
